Resort Name,Package Title,Longitude,Latitude,Has Valid Coordinates,Source,Price,Link
"Arwana Resort","2D1N Arwana Resort (Snorkeling Package), Pulau Perhentian",0,0,false,"amitravel","RM 408","https://www.amitravel.my/package-pakej/2d1n-arwana-resort-snorkeling-package-pulau-perhentian/"
"Resort","3D2N Perhentian Island Resort (Honeymoon), Pulau Perhentian",0,0,false,"amitravel","RM 2388","https://www.amitravel.my/package-pakej/3d2n-perhentian-island-resort-honeymoon-pulau-perhentian/"
"Resort","3D2N Perhentian Island Resort (Snorkeling Package), Pulau Perhentian",0,0,false,"amitravel","RM 678","https://www.amitravel.my/package-pakej/3d2n-fb-snorkeling-perhentian-island/"
"Resort","3D2N Perhentian Island Resort (Diving Package), Pulau Perhentian",0,0,false,"amitravel","RM 792","https://www.amitravel.my/package-pakej/3d2n-diving-perhentian-island-resort-pulau-perhentian/"
"Discovery Resort","3D2N Discovery Perhentian Island Resort, Pulau Perhentian",0,0,false,"amitravel","RM 582","https://www.amitravel.my/package-pakej/3d2n-discovery-perhentian-island-resort-pulau-perhentian/"
"Ombak Dive Resort","4D3N Relax at Ombak Dive Resort, Pulau Perhentian",0,0,false,"amitravel","RM 810","https://www.amitravel.my/package-pakej/4d3n-relax-ombak-dive-resort-pulau-perhentian/"
"Senja Bay Resort","3D2N Senja Bay Resort (Relaxing Package), Pulau Perhentian",0,0,false,"amitravel","RM 264","https://www.amitravel.my/package-pakej/3d2n-senja-bay-resort-relaxing-package-pulau-perhentian/"
"Senja Bay Resort","3D2N Senja Bay Resort (Snorkeling Package), Pulau Perhentian",0,0,false,"amitravel","RM 324","https://www.amitravel.my/package-pakej/3d2n-senja-bay-resort-snorkeling-package-pulau-perhentian/"
"Mimpi Perhentian Resort","3D2N Mimpi Perhentian Resort (Diving Package), Pulau Perhentian",0,0,false,"amitravel","RM 1524","https://www.amitravel.my/package-pakej/3d2n-diving-package-with-mimpi-perhentian-resort-pulau-perhentian/"
"Perhentian","3D2N The Barat Perhentian (Full Board & 3 Dives), Pulau Perhentian",0,0,false,"amitravel","RM 632","https://www.amitravel.my/package-pakej/3d2n-the-barat-perhentian-full-board-3-dives-pulau-perhentian/"
"Mimpi Perhentian Resort","3D2N Mimpi Perhentian Resort (Free & Easy), Pulau Perhentian",0,0,false,"amitravel","RM 450","https://www.amitravel.my/package-pakej/3d2n-mimpi-perhentian-resort-honeymoon-pulau-perhentian/"
"Perhentian","4D3N The Barat Perhentian (Snorkeling Package), Pulau Perhentian",0,0,false,"amitravel","RM 618","https://www.amitravel.my/package-pakej/4d3n-the-barat-perhentian-snorkeling-package-pulau-perhentian-2/"
"Perhentian","4D3N The Barat Perhentian (Full Board & 6 Dives), Pulau Perhentian",0,0,false,"amitravel","RM 1104","https://www.amitravel.my/package-pakej/4d3n-the-barat-perhentian-full-board-6-dives-pulau-perhentian/"
"Perhentian","4D3N The Barat Perhentian (Full Board & Open Water Course), Pulau Perhentian",0,0,false,"amitravel","RM 1925","https://www.amitravel.my/package-pakej/4d3n-the-barat-perhentian-full-board-open-water-course-pulau-perhentian/"
"Perhentian","3D2N The Barat Perhentian (Snorkeling Package), Pulau Perhentian",0,0,false,"amitravel","RM 438","https://www.amitravel.my/package-pakej/3d2n-the-barat-perhentian-snorkeling-package-pulau-perhentian/"
"Senja Bay Resort","4D3N Senja Bay Resort (Snorkeling Package), Pulau Perhentian",0,0,false,"amitravel","RM 684","https://www.amitravel.my/package-pakej/4d3n-senja-bay-resort-snorkeling-package-pulau-perhentian/"
"Samudra Beach Chalet","4D3N Samudra Beach Chalet (Snorkeling 3 Islands Package – Perhentian, Rawa & Susu Dara), Pulau Perhentian",0,0,false,"amitravel","RM 540","https://www.amitravel.my/package-pakej/4d3n-samudra-beach-chalet-snorkeling-3-islands-package-perhentian-rawa-susu-dara-pulau-perhentian/"
